x_cm,y_cm
204.78273296903353,-1938.3589406264946
204.78273296903353,-1633.5589406313375
204.78273296903353,-1328.7589406361803
204.78273296903353,-1023.9589406410232
204.78273296903353,-719.1589406458661
204.78273296903353,-414.358940650709
326.70273296826053,-6510.358940553851
326.70273296826053,-6205.558940558694
326.70273296826053,-5900.758940563537
326.70273296826053,-5595.95894056838
326.70273296826053,-5291.158940573223
326.70273296826053,-4986.358940578066
326.70273296826053,-4681.558940582909
326.70273296826053,-4376.758940587752
326.70273296826053,-4071.9589405925944
326.70273296826053,-3767.1589405974373
326.70273296826053,-3462.35894060228
326.70273296826053,-3157.558940607123
326.70273296826053,-2852.758940611966
326.70273296826053,-2547.958940616809
326.70273296826053,-2243.1589406216517
326.70273296826053,-1938.3589406264946
326.70273296826053,-1633.5589406313375
326.70273296826053,-1328.7589406361803
326.70273296826053,-1023.9589406410232
326.70273296826053,-719.1589406458661
326.70273296826053,-414.358940650709
448.62273296748754,-6510.358940553851
448.62273296748754,-6205.558940558694
448.62273296748754,-5900.758940563537
448.62273296748754,-5595.95894056838
448.62273296748754,-5291.158940573223
448.62273296748754,-4986.358940578066
448.62273296748754,-4681.558940582909
448.62273296748754,-4376.758940587752
448.62273296748754,-4071.9589405925944
448.62273296748754,-3767.1589405974373
448.62273296748754,-3462.35894060228
448.62273296748754,-3157.558940607123
448.62273296748754,-2852.758940611966
448.62273296748754,-2547.958940616809
448.62273296748754,-2243.1589406216517
448.62273296748754,-1938.3589406264946
448.62273296748754,-1633.5589406313375
448.62273296748754,-1328.7589406361803
448.62273296748754,-1023.9589406410232
448.62273296748754,-719.1589406458661
448.62273296748754,-414.358940650709
570.5427329667145,-6510.358940553851
570.5427329667145,-6205.558940558694
570.5427329667145,-5900.758940563537
570.5427329667145,-5595.95894056838
570.5427329667145,-5291.158940573223
570.5427329667145,-4986.358940578066
570.5427329667145,-4681.558940582909
570.5427329667145,-4376.758940587752
570.5427329667145,-4071.9589405925944
570.5427329667145,-3767.1589405974373
570.5427329667145,-3462.35894060228
570.5427329667145,-3157.558940607123
570.5427329667145,-2852.758940611966
570.5427329667145,-2547.958940616809
570.5427329667145,-2243.1589406216517
570.5427329667145,-1938.3589406264946
570.5427329667145,-1633.5589406313375
570.5427329667145,-1328.7589406361803
570.5427329667145,-1023.9589406410232
570.5427329667145,-719.1589406458661
570.5427329667145,-414.358940650709
692.4627329659415,-6510.358940553851
692.4627329659415,-6205.558940558694
692.4627329659415,-5900.758940563537
692.4627329659415,-5595.95894056838
692.4627329659415,-5291.158940573223
692.4627329659415,-4986.358940578066
692.4627329659415,-4681.558940582909
692.4627329659415,-4376.758940587752
692.4627329659415,-4071.9589405925944
692.4627329659415,-3767.1589405974373
692.4627329659415,-3462.35894060228
692.4627329659415,-3157.558940607123
692.4627329659415,-2852.758940611966
692.4627329659415,-2547.958940616809
692.4627329659415,-2243.1589406216517
692.4627329659415,-1938.3589406264946
692.4627329659415,-1633.5589406313375
692.4627329659415,-1328.7589406361803
692.4627329659415,-1023.9589406410232
692.4627329659415,-719.1589406458661
692.4627329659415,-414.358940650709
814.3827329651685,-6510.358940553851
814.3827329651685,-6205.558940558694
814.3827329651685,-5900.758940563537
814.3827329651685,-5595.95894056838
814.3827329651685,-5291.158940573223
814.3827329651685,-4986.358940578066
814.3827329651685,-4681.558940582909
814.3827329651685,-4376.758940587752
814.3827329651685,-4071.9589405925944
814.3827329651685,-3767.1589405974373
814.3827329651685,-3462.35894060228
814.3827329651685,-3157.558940607123
814.3827329651685,-2852.758940611966
814.3827329651685,-2547.958940616809
814.3827329651685,-2243.1589406216517
814.3827329651685,-1938.3589406264946
814.3827329651685,-1633.5589406313375
814.3827329651685,-1328.7589406361803
814.3827329651685,-1023.9589406410232
814.3827329651685,-719.1589406458661
814.3827329651685,-414.358940650709
936.3027329643955,-6510.358940553851
936.3027329643955,-6205.558940558694
936.3027329643955,-5900.758940563537
936.3027329643955,-5595.95894056838
936.3027329643955,-5291.158940573223
936.3027329643955,-4986.358940578066
936.3027329643955,-4681.558940582909
936.3027329643955,-4376.758940587752
936.3027329643955,-4071.9589405925944
936.3027329643955,-3767.1589405974373
936.3027329643955,-3462.35894060228
936.3027329643955,-3157.558940607123
936.3027329643955,-2852.758940611966
936.3027329643955,-2547.958940616809
936.3027329643955,-2243.1589406216517
936.3027329643955,-1938.3589406264946
936.3027329643955,-1633.5589406313375
936.3027329643955,-1328.7589406361803
936.3027329643955,-1023.9589406410232
936.3027329643955,-719.1589406458661
936.3027329643955,-414.358940650709
1058.2227329636225,-6510.358940553851
1058.2227329636225,-6205.558940558694
1058.2227329636225,-5900.758940563537
1058.2227329636225,-5595.95894056838
1058.2227329636225,-5291.158940573223
1058.2227329636225,-4986.358940578066
1058.2227329636225,-4681.558940582909
1058.2227329636225,-4376.758940587752
1058.2227329636225,-4071.9589405925944
1058.2227329636225,-3767.1589405974373
1058.2227329636225,-3462.35894060228
1058.2227329636225,-3157.558940607123
1058.2227329636225,-2852.758940611966
1058.2227329636225,-2547.958940616809
1058.2227329636225,-2243.1589406216517
1058.2227329636225,-1938.3589406264946
1058.2227329636225,-1633.5589406313375
1058.2227329636225,-1328.7589406361803
1058.2227329636225,-1023.9589406410232
1058.2227329636225,-719.1589406458661
1058.2227329636225,-414.358940650709
1180.1427329628495,-6510.358940553851
1180.1427329628495,-6205.558940558694
1180.1427329628495,-5900.758940563537
1180.1427329628495,-5595.95894056838
1180.1427329628495,-5291.158940573223
1180.1427329628495,-4986.358940578066
1180.1427329628495,-4681.558940582909
1180.1427329628495,-4376.758940587752
1180.1427329628495,-4071.9589405925944
1180.1427329628495,-3767.1589405974373
1180.1427329628495,-3462.35894060228
1180.1427329628495,-3157.558940607123
1180.1427329628495,-2852.758940611966
1180.1427329628495,-2547.958940616809
1180.1427329628495,-2243.1589406216517
1180.1427329628495,-1938.3589406264946
1180.1427329628495,-1633.5589406313375
1180.1427329628495,-1328.7589406361803
1180.1427329628495,-1023.9589406410232
1180.1427329628495,-719.1589406458661
1180.1427329628495,-414.358940650709
1302.0627329620766,-6510.358940553851
1302.0627329620766,-6205.558940558694
1302.0627329620766,-5900.758940563537
1302.0627329620766,-5595.95894056838
1302.0627329620766,-5291.158940573223
1302.0627329620766,-4986.358940578066
1302.0627329620766,-4681.558940582909
1302.0627329620766,-4376.758940587752
1302.0627329620766,-4071.9589405925944
1302.0627329620766,-3767.1589405974373
1302.0627329620766,-3462.35894060228
1302.0627329620766,-3157.558940607123
1302.0627329620766,-2852.758940611966
1302.0627329620766,-2547.958940616809
1302.0627329620766,-2243.1589406216517
1302.0627329620766,-1938.3589406264946
1302.0627329620766,-1633.5589406313375
1302.0627329620766,-1328.7589406361803
1302.0627329620766,-1023.9589406410232
1302.0627329620766,-719.1589406458661
1302.0627329620766,-414.358940650709
1423.9827329613036,-6510.358940553851
1423.9827329613036,-6205.558940558694
1423.9827329613036,-5900.758940563537
1423.9827329613036,-5595.95894056838
1423.9827329613036,-5291.158940573223
1423.9827329613036,-4986.358940578066
1423.9827329613036,-4681.558940582909
1423.9827329613036,-4376.758940587752
1423.9827329613036,-4071.9589405925944
1423.9827329613036,-3767.1589405974373
1423.9827329613036,-3462.35894060228
1423.9827329613036,-3157.558940607123
1423.9827329613036,-2852.758940611966
1423.9827329613036,-2547.958940616809
1423.9827329613036,-2243.1589406216517
1423.9827329613036,-1938.3589406264946
1423.9827329613036,-1633.5589406313375
1423.9827329613036,-1328.7589406361803
1423.9827329613036,-1023.9589406410232
1423.9827329613036,-719.1589406458661
1545.9027329605306,-6510.358940553851
1545.9027329605306,-6205.558940558694
1545.9027329605306,-5900.758940563537
1545.9027329605306,-5595.95894056838
1545.9027329605306,-5291.158940573223
1545.9027329605306,-4986.358940578066
1545.9027329605306,-4681.558940582909
1545.9027329605306,-4376.758940587752
1545.9027329605306,-4071.9589405925944
1545.9027329605306,-3767.1589405974373
1545.9027329605306,-3462.35894060228
1545.9027329605306,-3157.558940607123
1545.9027329605306,-2852.758940611966
1545.9027329605306,-2547.958940616809
1545.9027329605306,-2243.1589406216517
1545.9027329605306,-1938.3589406264946
1545.9027329605306,-1633.5589406313375
1545.9027329605306,-1328.7589406361803
1545.9027329605306,-1023.9589406410232
1545.9027329605306,-719.1589406458661
1667.8227329597576,-6510.358940553851
1667.8227329597576,-6205.558940558694
1667.8227329597576,-5900.758940563537
1667.8227329597576,-5595.95894056838
1667.8227329597576,-5291.158940573223
1667.8227329597576,-4986.358940578066
1667.8227329597576,-4681.558940582909
1667.8227329597576,-4376.758940587752
1667.8227329597576,-4071.9589405925944
1667.8227329597576,-3767.1589405974373
1667.8227329597576,-3462.35894060228
1667.8227329597576,-3157.558940607123
1667.8227329597576,-2852.758940611966
1667.8227329597576,-2547.958940616809
1667.8227329597576,-2243.1589406216517
1667.8227329597576,-1938.3589406264946
1667.8227329597576,-1633.5589406313375
1667.8227329597576,-1328.7589406361803
1667.8227329597576,-1023.9589406410232
1667.8227329597576,-719.1589406458661
1789.7427329589846,-6510.358940553851
1789.7427329589846,-6205.558940558694
1789.7427329589846,-5900.758940563537
1789.7427329589846,-5595.95894056838
1789.7427329589846,-5291.158940573223
1789.7427329589846,-4986.358940578066
1789.7427329589846,-4681.558940582909
1789.7427329589846,-4376.758940587752
1789.7427329589846,-4071.9589405925944
1789.7427329589846,-3767.1589405974373
1789.7427329589846,-3462.35894060228
1789.7427329589846,-3157.558940607123
1789.7427329589846,-2852.758940611966
1789.7427329589846,-2547.958940616809
1789.7427329589846,-2243.1589406216517
1789.7427329589846,-1938.3589406264946
1789.7427329589846,-1633.5589406313375
1789.7427329589846,-1328.7589406361803
1789.7427329589846,-1023.9589406410232
1789.7427329589846,-719.1589406458661
1911.6627329582116,-6510.358940553851
1911.6627329582116,-6205.558940558694
1911.6627329582116,-5900.758940563537
1911.6627329582116,-5595.95894056838
1911.6627329582116,-5291.158940573223
1911.6627329582116,-4986.358940578066
1911.6627329582116,-4681.558940582909
1911.6627329582116,-4376.758940587752
1911.6627329582116,-4071.9589405925944
1911.6627329582116,-3767.1589405974373
1911.6627329582116,-3462.35894060228
1911.6627329582116,-3157.558940607123
1911.6627329582116,-2852.758940611966
1911.6627329582116,-2547.958940616809
1911.6627329582116,-2243.1589406216517
1911.6627329582116,-1938.3589406264946
1911.6627329582116,-1633.5589406313375
1911.6627329582116,-1328.7589406361803
1911.6627329582116,-1023.9589406410232
1911.6627329582116,-719.1589406458661
2033.5827329574386,-6510.358940553851
2033.5827329574386,-6205.558940558694
2033.5827329574386,-5900.758940563537
2033.5827329574386,-5595.95894056838
2033.5827329574386,-5291.158940573223
2033.5827329574386,-4986.358940578066
2033.5827329574386,-4681.558940582909
2033.5827329574386,-4376.758940587752
2033.5827329574386,-4071.9589405925944
2033.5827329574386,-3767.1589405974373
2033.5827329574386,-3462.35894060228
2033.5827329574386,-3157.558940607123
2033.5827329574386,-2852.758940611966
2033.5827329574386,-2547.958940616809
2033.5827329574386,-2243.1589406216517
2033.5827329574386,-1938.3589406264946
2033.5827329574386,-1633.5589406313375
2033.5827329574386,-1328.7589406361803
2033.5827329574386,-1023.9589406410232
2033.5827329574386,-719.1589406458661
2155.5027329566656,-6510.358940553851
2155.5027329566656,-6205.558940558694
2155.5027329566656,-5900.758940563537
2155.5027329566656,-5595.95894056838
2155.5027329566656,-5291.158940573223
2155.5027329566656,-4986.358940578066
2155.5027329566656,-4681.558940582909
2155.5027329566656,-4376.758940587752
2155.5027329566656,-4071.9589405925944
2155.5027329566656,-3767.1589405974373
2155.5027329566656,-3462.35894060228
2155.5027329566656,-3157.558940607123
2155.5027329566656,-2852.758940611966
2155.5027329566656,-2547.958940616809
2155.5027329566656,-2243.1589406216517
2155.5027329566656,-1938.3589406264946
2155.5027329566656,-1633.5589406313375
2155.5027329566656,-1328.7589406361803
2155.5027329566656,-1023.9589406410232
2155.5027329566656,-719.1589406458661
2277.4227329558926,-6205.558940558694
2277.4227329558926,-5900.758940563537
2277.4227329558926,-5595.95894056838
2277.4227329558926,-5291.158940573223
2277.4227329558926,-4986.358940578066
2277.4227329558926,-4681.558940582909
2277.4227329558926,-4376.758940587752
2277.4227329558926,-4071.9589405925944
2277.4227329558926,-3767.1589405974373
2277.4227329558926,-3462.35894060228
2277.4227329558926,-3157.558940607123
2277.4227329558926,-2852.758940611966
2277.4227329558926,-2547.958940616809
2277.4227329558926,-2243.1589406216517
2277.4227329558926,-1938.3589406264946
2277.4227329558926,-1633.5589406313375
2277.4227329558926,-1328.7589406361803
2277.4227329558926,-1023.9589406410232
2277.4227329558926,-719.1589406458661
2399.3427329551196,-5900.758940563537
2399.3427329551196,-5595.95894056838
2399.3427329551196,-5291.158940573223
2399.3427329551196,-4986.358940578066
2399.3427329551196,-4681.558940582909
2399.3427329551196,-4376.758940587752
2399.3427329551196,-4071.9589405925944
2399.3427329551196,-3767.1589405974373
2399.3427329551196,-3462.35894060228
2399.3427329551196,-3157.558940607123
2399.3427329551196,-2852.758940611966
2399.3427329551196,-2547.958940616809
2399.3427329551196,-2243.1589406216517
2399.3427329551196,-1938.3589406264946
2399.3427329551196,-1633.5589406313375
2399.3427329551196,-1328.7589406361803
2399.3427329551196,-1023.9589406410232
2399.3427329551196,-719.1589406458661
2521.2627329543466,-5291.158940573223
2521.2627329543466,-4986.358940578066
2521.2627329543466,-4681.558940582909
2521.2627329543466,-4376.758940587752
2521.2627329543466,-4071.9589405925944
2521.2627329543466,-3767.1589405974373
2521.2627329543466,-3462.35894060228
2521.2627329543466,-3157.558940607123
2521.2627329543466,-2852.758940611966
2521.2627329543466,-2547.958940616809
2521.2627329543466,-2243.1589406216517
2521.2627329543466,-1938.3589406264946
2521.2627329543466,-1633.5589406313375
2521.2627329543466,-1328.7589406361803
2521.2627329543466,-1023.9589406410232
2643.1827329535736,-4986.358940578066
2643.1827329535736,-4681.558940582909
2643.1827329535736,-4376.758940587752
2643.1827329535736,-4071.9589405925944
2643.1827329535736,-3767.1589405974373
2643.1827329535736,-3462.35894060228
2643.1827329535736,-3157.558940607123
2643.1827329535736,-2852.758940611966
2643.1827329535736,-2547.958940616809
2643.1827329535736,-2243.1589406216517
2643.1827329535736,-1938.3589406264946
2643.1827329535736,-1633.5589406313375
2643.1827329535736,-1328.7589406361803
2643.1827329535736,-1023.9589406410232
2765.1027329528006,-4681.558940582909
2765.1027329528006,-4376.758940587752
2765.1027329528006,-4071.9589405925944
2765.1027329528006,-3767.1589405974373
2765.1027329528006,-3462.35894060228
2765.1027329528006,-3157.558940607123
2765.1027329528006,-2852.758940611966
2765.1027329528006,-2547.958940616809
2765.1027329528006,-2243.1589406216517
2765.1027329528006,-1938.3589406264946
2765.1027329528006,-1633.5589406313375
2765.1027329528006,-1328.7589406361803
2765.1027329528006,-1023.9589406410232
2887.0227329520276,-4376.758940587752
2887.0227329520276,-4071.9589405925944
2887.0227329520276,-3767.1589405974373
2887.0227329520276,-3462.35894060228
2887.0227329520276,-3157.558940607123
2887.0227329520276,-2852.758940611966
2887.0227329520276,-2547.958940616809
2887.0227329520276,-2243.1589406216517
2887.0227329520276,-1938.3589406264946
2887.0227329520276,-1633.5589406313375
2887.0227329520276,-1328.7589406361803
2887.0227329520276,-1023.9589406410232
3008.9427329512546,-4071.9589405925944
3008.9427329512546,-3767.1589405974373
3008.9427329512546,-3462.35894060228
3008.9427329512546,-3157.558940607123
3008.9427329512546,-2852.758940611966
3008.9427329512546,-2547.958940616809
3008.9427329512546,-2243.1589406216517
3008.9427329512546,-1938.3589406264946
3008.9427329512546,-1633.5589406313375
3008.9427329512546,-1328.7589406361803
3008.9427329512546,-1023.9589406410232
3130.8627329504816,-3767.1589405974373
3130.8627329504816,-3462.35894060228
3130.8627329504816,-3157.558940607123
3130.8627329504816,-2852.758940611966
3130.8627329504816,-2547.958940616809
3130.8627329504816,-2243.1589406216517
3130.8627329504816,-1938.3589406264946
3130.8627329504816,-1633.5589406313375
3130.8627329504816,-1328.7589406361803
3130.8627329504816,-1023.9589406410232
3252.7827329497086,-3462.35894060228
3252.7827329497086,-3157.558940607123
3252.7827329497086,-2852.758940611966
3252.7827329497086,-2547.958940616809
3252.7827329497086,-2243.1589406216517
3252.7827329497086,-1938.3589406264946
3252.7827329497086,-1633.5589406313375
3252.7827329497086,-1328.7589406361803
3252.7827329497086,-1023.9589406410232
3374.7027329489356,-3157.558940607123
3374.7027329489356,-2852.758940611966
3374.7027329489356,-2547.958940616809
3374.7027329489356,-2243.1589406216517
3374.7027329489356,-1938.3589406264946
3374.7027329489356,-1633.5589406313375
3374.7027329489356,-1328.7589406361803
3374.7027329489356,-1023.9589406410232
3496.6227329481626,-2852.758940611966
3496.6227329481626,-2547.958940616809
3496.6227329481626,-2243.1589406216517
3496.6227329481626,-1938.3589406264946
3496.6227329481626,-1633.5589406313375
3496.6227329481626,-1328.7589406361803
3496.6227329481626,-1023.9589406410232
3618.5427329473896,-2547.958940616809
3618.5427329473896,-2243.1589406216517
3618.5427329473896,-1938.3589406264946
3618.5427329473896,-1633.5589406313375
3618.5427329473896,-1328.7589406361803
3618.5427329473896,-1023.9589406410232
3740.4627329466166,-2243.1589406216517
3740.4627329466166,-1938.3589406264946
3740.4627329466166,-1633.5589406313375
3740.4627329466166,-1328.7589406361803
3862.3827329458436,-1938.3589406264946
3862.3827329458436,-1633.5589406313375
3862.3827329458436,-1328.7589406361803
3984.3027329450706,-1633.5589406313375
3984.3027329450706,-1328.7589406361803
4106.222732944298,-1328.7589406361803
